,Number,After 1,2,After 2,3,After 3,4,After 4,5,After 5,6,After 6,7,After 7,8,After 8,9
aback,4,71,slick,4,abuna,1,aback,,,,,,,,,,
abase,3,42,plush,2,abase,,,,,,,,,,,,
abate,3,7,ables,1,abate,,,,,,,,,,,,
abbey,4,55,penal,3,askew,1,abbey,,,,,,,,,,
abbot,3,17,bloat,1,abbot,,,,,,,,,,,,
abhor,3,28,armor,1,abhor,,,,,,,,,,,,
abide,3,45,mauls,1,abide,,,,,,,,,,,,
abled,3,55,penal,2,abled,,,,,,,,,,,,
abode,3,7,blond,2,abode,,,,,,,,,,,,
abort,2,3,abort,,,,,,,,,,,,,,
about,3,17,bloat,1,about,,,,,,,,,,,,
above,3,7,blond,1,above,,,,,,,,,,,,
abuse,3,45,mauls,1,abuse,,,,,,,,,,,,
abyss,3,112,layin,1,abyss,,,,,,,,,,,,
acorn,3,28,armor,3,acorn,,,,,,,,,,,,
acrid,3,35,carry,3,acrid,,,,,,,,,,,,
actor,3,3,abort,1,actor,,,,,,,,,,,,
acute,3,10,schul,1,acute,,,,,,,,,,,,
adage,4,42,plush,8,awing,1,adage,,,,,,,,,,
adapt,3,23,stint,1,adapt,,,,,,,,,,,,
adept,3,25,cleat,2,adept,,,,,,,,,,,,
admin,3,112,layin,1,admin,,,,,,,,,,,,
admit,3,50,cunit,2,admit,,,,,,,,,,,,
adobe,4,7,blond,2,abode,1,adobe,,,,,,,,,,
adopt,3,17,bloat,2,adopt,,,,,,,,,,,,
adore,2,2,adore,,,,,,,,,,,,,,
adorn,4,28,armor,3,acorn,1,adorn,,,,,,,,,,
adult,4,50,cunit,5,fauld,1,adult,,,,,,,,,,
affix,4,112,layin,2,aphid,1,affix,,,,,,,,,,
afire,3,10,garis,1,afire,,,,,,,,,,,,
afoot,4,17,bloat,2,adopt,1,afoot,,,,,,,,,,
afoul,3,33,salon,5,afoul,,,,,,,,,,,,
after,3,17,tater,2,after,,,,,,,,,,,,
again,3,71,slick,1,again,,,,,,,,,,,,
agape,3,42,plush,1,agape,,,,,,,,,,,,
agate,3,7,ables,1,agate,,,,,,,,,,,,
agent,4,25,cleat,2,adept,1,agent,,,,,,,,,,
agile,4,45,mauls,4,aking,1,agile,,,,,,,,,,
aging,4,112,layin,4,ainga,2,aging,,,,,,,,,,
aglow,3,33,salon,3,aglow,,,,,,,,,,,,
agony,3,33,salon,2,agony,,,,,,,,,,,,
agora,4,28,armor,3,acorn,1,agora,,,,,,,,,,
agree,3,10,garis,1,agree,,,,,,,,,,,,
ahead,3,55,penal,2,ahead,,,,,,,,,,,,
aider,3,42,baler,2,aider,,,,,,,,,,,,
aisle,3,45,mauls,1,aisle,,,,,,,,,,,,
alarm,4,51,drink,7,chams,1,alarm,,,,,,,,,,
album,4,112,layin,5,ampul,1,album,,,,,,,,,,
alert,3,17,tater,3,alert,,,,,,,,,,,,
algae,3,45,mauls,3,algae,,,,,,,,,,,,
