,Number,After 1,2,After 2,3,After 3,4,After 4,5,After 5,6,After 6,7,After 7,8,After 8,9
brave,6,53,crare,10,egads,3,bumfs,2,brake,1,brave,,,,,,
poker,6,87,sower,11,chevy,4,aking,2,joker,1,poker,,,,,,
savvy,6,1135,layin,17,ducks,4,gassy,2,sappy,1,savvy,,,,,,
agape,5,95,shale,11,aking,2,adage,1,agape,,,,,,,,
ankle,5,170,aisle,5,nempt,2,angle,1,ankle,,,,,,,,
aping,5,1135,layin,4,ainga,2,aging,1,aping,,,,,,,,
apply,5,1135,layin,4,allay,2,amply,1,apply,,,,,,,,
baggy,5,1135,layin,17,ducks,4,bumph,1,baggy,,,,,,,,
batch,5,236,taint,10,chump,4,ablow,1,batch,,,,,,,,
bezel,5,1054,lined,9,beeps,2,bevel,1,bezel,,,,,,,,
biddy,5,920,shily,13,pownd,3,baddy,1,biddy,,,,,,,,
billy,5,920,shily,6,milds,3,abaft,1,billy,,,,,,,,
bitty,5,156,units,8,withy,3,baked,1,bitty,,,,,,,,
blank,5,356,clash,11,kinda,3,abaft,1,blank,,,,,,,,
blink,5,920,shily,10,banco,2,blind,1,blink,,,,,,,,
boozy,5,626,lound,15,biogs,2,booby,1,boozy,,,,,,,,
bossy,5,626,lound,15,biogs,2,bosom,1,bossy,,,,,,,,
boxer,5,87,sower,11,chevy,4,aking,1,boxer,,,,,,,,
brake,5,53,crare,10,egads,3,bumfs,2,brake,,,,,,,,
briny,5,298,cursi,13,gland,2,brink,1,briny,,,,,,,,
brook,5,195,croon,7,blimp,2,brood,1,brook,,,,,,,,
buddy,5,920,shily,18,pygmy,5,aband,1,buddy,,,,,,,,
bunny,5,920,shily,18,pygmy,5,aband,1,bunny,,,,,,,,
caper,5,239,baler,14,gymps,3,parch,1,caper,,,,,,,,
chaff,5,356,clash,3,chain,2,champ,1,chaff,,,,,,,,
chill,5,920,shily,3,child,2,chili,1,chill,,,,,,,,
chime,5,324,guile,12,phons,2,chide,1,chime,,,,,,,,
clink,5,920,shily,10,banco,2,cling,1,clink,,,,,,,,
crack,5,192,draws,12,cling,3,kempy,1,crack,,,,,,,,
cramp,5,192,draws,12,cling,3,kempy,1,cramp,,,,,,,,
craze,5,53,crare,3,crane,2,crave,1,craze,,,,,,,,
crazy,5,192,draws,12,cling,3,kempy,1,crazy,,,,,,,,
creak,5,239,baler,7,adman,3,awful,1,creak,,,,,,,,
creep,5,477,drier,6,clung,2,creek,1,creep,,,,,,,,
crump,5,298,cursi,3,churn,2,crumb,1,crump,,,,,,,,
curvy,5,298,cursi,3,curly,2,curry,1,curvy,,,,,,,,
diode,5,74,close,6,ehing,2,biome,1,diode,,,,,,,,
ditty,5,156,units,8,withy,3,baked,1,ditty,,,,,,,,
dizzy,5,920,shily,13,pownd,3,baddy,1,dizzy,,,,,,,,
drape,5,53,crare,10,egads,2,drake,1,drape,,,,,,,,
droll,5,195,croon,9,plugs,2,broil,1,droll,,,,,,,,
ember,5,477,drier,22,buhls,2,cyber,1,ember,,,,,,,,
envoy,5,152,melon,3,endow,2,enjoy,1,envoy,,,,,,,,
evade,5,95,shale,11,aking,3,cezve,1,evade,,,,,,,,
eying,5,1054,lined,6,being,2,eking,1,eying,,,,,,,,
fable,5,170,aisle,5,embed,2,cable,1,fable,,,,,,,,
fence,5,324,guile,9,scend,3,aheap,1,fence,,,,,,,,
fever,5,477,drier,22,buhls,4,fawns,1,fever,,,,,,,,
fewer,5,477,drier,22,buhls,4,fawns,1,fewer,,,,,,,,
fight,5,237,suint,7,humid,4,awful,1,fight,,,,,,,,
filly,5,920,shily,6,milds,3,abaft,1,filly,,,,,,,,
filth,5,156,units,8,withy,2,fifth,1,filth,,,,,,,,
finch,5,920,shily,5,cumin,3,awful,1,finch,,,,,,,,
fixer,5,477,drier,15,final,2,fiber,1,fixer,,,,,,,,
fizzy,5,920,shily,13,pownd,2,jiffy,1,fizzy,,,,,,,,
flake,5,95,shale,10,bedim,4,aping,1,flake,,,,,,,,
flank,5,356,clash,11,kinda,3,abaft,1,flank,,,,,,,,
fleck,5,1054,lined,16,shell,2,elegy,1,fleck,,,,,,,,
flick,5,920,shily,10,banco,2,click,1,flick,,,,,,,,
flock,5,422,snool,4,chuck,2,block,1,flock,,,,,,,,
flown,5,422,snool,4,aband,2,clown,1,flown,,,,,,,,
fluff,5,920,shily,11,pance,2,bluff,1,fluff,,,,,,,,
flunk,5,920,shily,11,pance,2,flung,1,flunk,,,,,,,,
flyer,5,477,drier,22,buhls,3,flype,1,flyer,,,,,,,,
frame,5,53,crare,10,egads,3,bumfs,1,frame,,,,,,,,
freak,5,239,baler,7,adman,3,awful,1,freak,,,,,,,,
frill,5,298,cursi,13,gland,3,wharf,1,frill,,,,,,,,
frost,5,61,trout,3,droit,2,front,1,frost,,,,,,,,
frown,5,195,croon,5,bewig,2,drown,1,frown,,,,,,,,
froze,5,45,prore,7,daven,2,broke,1,froze,,,,,,,,
funky,5,920,shily,18,pygmy,5,aband,1,funky,,,,,,,,
funny,5,920,shily,18,pygmy,5,aband,1,funny,,,,,,,,
fuzzy,5,920,shily,18,pygmy,5,aband,1,fuzzy,,,,,,,,
giddy,5,920,shily,13,pownd,3,baddy,1,giddy,,,,,,,,
giver,5,477,drier,15,final,5,vamps,1,giver,,,,,,,,
gland,5,356,clash,11,kinda,2,bland,1,gland,,,,,,,,
glare,5,53,crare,7,ables,2,flare,1,glare,,,,,,,,
glaze,5,95,shale,10,bedim,4,aping,1,glaze,,,,,,,,
golly,5,626,lound,8,filly,3,aargh,1,golly,,,,,,,,
goner,5,87,sower,11,chevy,4,aking,1,goner,,,,,,,,
