,Number,After 1,2,After 2,3,After 3,4,After 4,5,After 5,6,After 6,7,After 7,8,After 8,9
willy,7,130,sling,15,dilly,4,billy,3,filly,2,hilly,1,willy,,,,
mummy,6,194,lousy,19,nymph,3,dummy,2,gummy,1,mummy,,,,,,
poppy,6,194,lousy,16,dhows,4,comfy,2,bobby,1,poppy,,,,,,
vouch,6,194,lousy,12,dench,3,couch,2,pouch,1,vouch,,,,,,
wound,6,194,lousy,12,dench,5,abamp,2,found,1,wound,,,,,,
jolly,6,194,lousy,10,gelds,3,folly,2,holly,1,jolly,,,,,,
wooly,6,194,lousy,10,gelds,3,coyly,2,nobly,1,wooly,,,,,,
slush,6,194,lousy,4,blush,3,flush,2,plush,1,slush,,,,,,
hilly,6,130,sling,15,dilly,4,billy,3,filly,2,hilly,,,,,,
winch,6,130,sling,13,pinch,3,cinch,2,finch,1,winch,,,,,,
jazzy,6,118,salon,19,dumky,4,baggy,2,happy,1,jazzy,,,,,,
paddy,6,118,salon,19,dumky,3,bawdy,2,caddy,1,paddy,,,,,,
savvy,6,118,salon,4,sassy,3,saucy,2,sappy,1,savvy,,,,,,
swell,6,106,olden,14,shell,3,smell,2,spell,1,swell,,,,,,
cover,6,92,loser,17,whomp,8,gucky,2,corer,1,cover,,,,,,
rover,6,92,loser,17,whomp,8,gucky,2,boxer,1,rover,,,,,,
merry,6,92,loser,14,durry,3,berry,2,ferry,1,merry,,,,,,
judge,6,80,louse,9,undug,3,budge,2,fudge,1,judge,,,,,,
solar,6,60,carol,4,flora,3,molar,2,polar,1,solar,,,,,,
hatch,6,55,talon,11,mutch,5,cowps,2,batch,1,hatch,,,,,,
lapel,6,55,clean,8,bagel,3,easel,2,hazel,1,lapel,,,,,,
stout,6,47,shout,4,scout,3,snout,2,spout,1,stout,,,,,,
gazer,6,45,paler,13,gawks,3,gamer,2,gayer,1,gazer,,,,,,
glaze,6,40,shale,10,bedim,4,place,2,flake,1,glaze,,,,,,
grown,6,39,drown,4,brown,3,crown,2,frown,1,grown,,,,,,
fixer,6,34,risen,10,vifda,3,fiber,2,filer,1,fixer,,,,,,
miner,6,34,risen,5,acned,3,finer,2,liner,1,miner,,,,,,
crazy,6,27,drawn,12,chogs,3,crack,2,cramp,1,crazy,,,,,,
grill,6,25,brink,10,clomp,3,drill,2,frill,1,grill,,,,,,
musty,6,24,south,4,dusty,3,gusty,2,lusty,1,musty,,,,,,
staff,6,21,slant,4,stack,3,stamp,2,stash,1,staff,,,,,,
graze,6,15,grace,4,grade,3,grape,2,grave,1,graze,,,,,,
water,6,14,later,4,cater,3,eater,2,hater,1,water,,,,,,
stove,6,13,those,4,stoke,3,stole,2,stone,1,stove,,,,,,
waste,6,10,saute,6,bacha,3,paste,2,taste,1,waste,,,,,,
glare,6,8,scare,4,aware,3,blare,2,flare,1,glare,,,,,,
buggy,5,194,lousy,19,nymph,3,buddy,1,buggy,,,,,,,,
funky,5,194,lousy,19,nymph,3,bunny,1,funky,,,,,,,,
funny,5,194,lousy,19,nymph,3,bunny,1,funny,,,,,,,,
fuzzy,5,194,lousy,19,nymph,3,buddy,1,fuzzy,,,,,,,,
gummy,5,194,lousy,19,nymph,3,dummy,2,gummy,,,,,,,,
jumpy,5,194,lousy,19,nymph,2,dumpy,1,jumpy,,,,,,,,
muddy,5,194,lousy,19,nymph,2,mucky,1,muddy,,,,,,,,
puffy,5,194,lousy,19,nymph,2,pudgy,1,puffy,,,,,,,,
puppy,5,194,lousy,19,nymph,2,guppy,1,puppy,,,,,,,,
bobby,5,194,lousy,16,dhows,4,comfy,2,bobby,,,,,,,,
booby,5,194,lousy,16,dhows,3,boozy,1,booby,,,,,,,,
downy,5,194,lousy,16,dhows,2,dowdy,1,downy,,,,,,,,
foggy,5,194,lousy,16,dhows,4,comfy,1,foggy,,,,,,,,
goofy,5,194,lousy,16,dhows,3,boozy,1,goofy,,,,,,,,
moody,5,194,lousy,16,dhows,2,goody,1,moody,,,,,,,,
