,Mean,Median,Mode,Std,Min,Max,1,2,3,4,5,6,7,8,9,Loss
Score 0,3.657019438,4,3,0.907771447,1,8,1,123,978,884,250,59,15,5,,20
Score 1,3.656587473,4,3,0.916841946,2,9,,126,976,892,239,61,14,5,2,21
Score 2,3.686825054,4,3,0.899231293,2,9,,82,1016,874,259,64,14,4,2,20
Score 3,3.822894168,4,4,0.843059995,2,9,,82,678,1227,250,60,12,4,2,18
Score 4,3.991360691,4,4,0.951031545,2,9,,82,678,831,651,56,11,4,2,17
Score 5,4.090280778,4,4,1.090332804,2,9,,82,678,831,418,292,9,3,2,14
Weighted Sum 0,3.622462203,4,4,0.863973433,1,9,1,132,955,957,214,41,10,3,2,15
Weighted Sum 1,3.717926566,4,4,0.917976469,2,8,,127,875,950,273,69,19,2,,21
Weighted Sum 2,3.689416847,4,3,0.899649731,2,8,,112,936,932,254,61,15,5,,20
Weighted Sum 3,3.699352052,4,4,0.896537382,2,8,,112,910,961,252,59,16,5,,21
Weighted Sum 4,3.699784017,4,4,0.893545343,2,8,,112,910,956,259,58,16,4,,20
Weighted Sum 5,3.699784017,4,4,0.893061783,2,8,,112,910,956,258,60,15,4,,19
Occurrence 0,3.683801296,4,4,0.911776219,1,8,1,130,912,933,262,55,17,5,,22
Occurrence 1,3.733477322,4,4,0.94298719,2,8,,128,866,948,274,71,23,5,,28
Occurrence 2,3.765442765,4,4,0.920990035,2,9,,92,863,988,277,66,22,6,1,29
Occurrence 3,3.812526998,4,4,0.90609568,2,9,,92,754,1096,279,66,20,7,1,28
Occurrence 4,3.853131749,4,4,0.929029033,2,8,,92,754,994,386,62,20,7,,27
Occurrence 5,3.872138229,4,4,0.960145983,2,8,,92,754,994,339,111,19,6,,25
