,Number,After 1,2,After 2,3,After 3,4,After 4,5,After 5,6,After 6,7,After 7,8,After 8,9
goner,8,160,rouse,14,cower,8,homer,5,joker,3,boxer,2,foyer,1,goner,,
hatch,8,49,nasty,9,batch,5,match,4,patch,3,watch,2,catch,1,hatch,,
jolly,8,84,lousy,10,godly,6,nobly,5,coyly,4,folly,2,holly,1,jolly,,
taunt,8,24,saint,6,daunt,5,gaunt,4,haunt,3,jaunt,2,vaunt,1,taunt,,
wound,8,196,noisy,9,bound,5,found,4,hound,3,mound,2,pound,1,wound,,
catch,7,49,nasty,9,batch,5,match,4,patch,3,watch,2,catch,,,,
crack,7,77,baron,17,cigar,5,crash,3,cramp,2,crazy,1,crack,,,,
daddy,7,110,mason,14,bawdy,4,gaudy,3,caddy,2,paddy,1,daddy,,,,
foyer,7,160,rouse,14,cower,8,homer,5,joker,3,boxer,2,foyer,,,,
holly,7,84,lousy,10,godly,6,nobly,5,coyly,4,folly,2,holly,,,,
pound,7,196,noisy,9,bound,5,found,4,hound,3,mound,2,pound,,,,
prize,7,160,rouse,17,gripe,4,price,3,pride,2,prime,1,prize,,,,
rarer,7,49,grace,17,baker,8,payer,5,safer,2,waver,1,rarer,,,,
shave,7,61,chase,5,shade,4,shake,3,shame,2,shape,1,shave,,,,
stash,7,49,nasty,5,stack,4,staid,3,stamp,2,staff,1,stash,,,,
taste,7,23,haste,5,baste,4,caste,3,paste,2,waste,1,taste,,,,
tatty,7,49,nasty,5,batty,4,catty,3,fatty,2,patty,1,tatty,,,,
tight,7,45,hoist,5,fight,4,might,3,night,2,wight,1,tight,,,,
vaunt,7,24,saint,6,daunt,5,gaunt,4,haunt,3,jaunt,2,vaunt,,,,
willy,7,84,lousy,10,dimly,4,billy,3,filly,2,hilly,1,willy,,,,
witty,7,84,south,6,minty,5,bitty,3,ditty,2,kitty,1,witty,,,,
wooly,7,84,lousy,10,godly,6,nobly,5,coyly,4,folly,1,wooly,,,,
bobby,6,196,noisy,15,howdy,7,comfy,4,boozy,1,bobby,,,,,,
booby,6,196,noisy,15,howdy,7,comfy,4,boozy,1,booby,,,,,,
boxer,6,160,rouse,14,cower,8,homer,5,joker,3,boxer,,,,,,
bribe,6,160,rouse,17,gripe,5,bride,2,brine,1,bribe,,,,,,
crazy,6,77,baron,17,cigar,5,crash,3,cramp,2,crazy,,,,,,
diver,6,160,rouse,37,fried,4,cider,2,diner,1,diver,,,,,,
dried,6,160,rouse,37,fried,3,cried,2,pried,1,dried,,,,,,
erase,6,49,grace,6,brake,3,drape,2,frame,1,erase,,,,,,
exile,6,59,noble,5,guile,3,smile,2,while,1,exile,,,,,,
fixer,6,160,rouse,37,fried,3,fiber,2,finer,1,fixer,,,,,,
folly,6,84,lousy,10,godly,6,nobly,5,coyly,4,folly,,,,,,
froze,6,160,rouse,11,prone,5,drove,2,broke,1,froze,,,,,,
giddy,6,196,noisy,9,picky,5,dizzy,2,biddy,1,giddy,,,,,,
giver,6,160,rouse,37,fried,6,miner,3,viper,1,giver,,,,,,
