,Number,After 1,2,After 2,3,After 3,4,After 4,5,After 5,6,After 6,7,After 7,8,After 8,9
watch,9,236,taint,32,latch,7,batch,6,catch,4,hatch,3,match,2,patch,1,watch
wound,9,626,lound,7,bound,6,found,5,hound,4,mound,3,pound,2,sound,1,wound
patch,8,236,taint,32,latch,7,batch,6,catch,4,hatch,3,match,2,patch,,
sound,8,626,lound,7,bound,6,found,5,hound,4,mound,3,pound,2,sound,,
waste,8,17,saute,6,baste,5,caste,4,haste,3,paste,2,taste,1,waste,,
foyer,7,87,sower,39,mover,27,joker,23,boner,2,corer,1,foyer,,,,
match,7,236,taint,32,latch,7,batch,6,catch,4,hatch,3,match,,,,
pound,7,626,lound,7,bound,6,found,5,hound,4,mound,3,pound,,,,
shave,7,95,shale,5,shade,4,shake,3,shame,2,shape,1,shave,,,,
staff,7,79,slant,13,stack,12,staid,10,stamp,2,stash,1,staff,,,,
taste,7,17,saute,6,baste,5,caste,4,haste,3,paste,2,taste,,,,
tatty,7,118,nasty,9,batty,4,catty,3,fatty,2,patty,1,tatty,,,,
vaunt,7,236,taint,8,daunt,6,gaunt,5,haunt,2,jaunt,1,vaunt,,,,
water,7,48,tater,9,cater,8,eater,7,hater,2,later,1,water,,,,
amiss,6,1135,layin,65,sigma,4,amias,2,amids,1,amiss,,,,,,
anger,6,239,baler,15,aider,10,acker,7,agger,1,anger,,,,,,
ankle,6,170,aisle,9,ample,6,angle,3,ancle,1,ankle,,,,,,
aping,6,1135,layin,40,ainga,7,aging,6,acing,1,aping,,,,,,
arena,6,239,baler,42,creak,7,aredd,3,arefy,1,arena,,,,,,
askew,6,499,penal,173,absey,12,aches,2,asked,1,askew,,,,,,
await,6,79,slant,9,adapt,3,abaft,2,amaut,1,await,,,,,,
awake,6,95,shale,26,agave,3,amaze,2,apace,1,awake,,,,,,
awoke,6,21,abode,10,alone,3,agoge,2,amove,1,awoke,,,,,,
axion,6,222,salon,7,aboon,6,ammon,5,ancon,1,axion,,,,,,
booze,6,149,louse,60,dovie,25,bocce,5,bombe,1,booze,,,,,,
boozy,6,626,lound,207,moobs,4,boofy,3,boogy,1,boozy,,,,,,
boxer,6,87,sower,39,mover,27,joker,23,boner,1,boxer,,,,,,
brass,6,192,draws,34,brags,4,braks,3,brans,1,brass,,,,,,
brave,6,53,crare,20,grade,11,brake,4,brame,1,brave,,,,,,
broom,6,195,croon,14,brood,4,brook,3,brool,1,broom,,,,,,
bunny,6,920,shily,68,pygmy,25,bundy,2,bunjy,1,bunny,,,,,,
chaff,6,356,clash,9,chain,5,champ,4,chack,1,chaff,,,,,,
charm,6,192,draws,28,chair,4,chara,3,chark,1,charm,,,,,,
chess,6,1054,lined,105,hecks,4,chefs,3,chems,1,chess,,,,,,
chirp,6,298,cursi,7,chirk,4,chirl,3,chirm,1,chirp,,,,,,
cloud,6,422,snool,14,clock,4,cloff,3,clomb,1,cloud,,,,,,
corer,6,87,sower,39,mover,27,joker,23,boner,2,corer,,,,,,
crass,6,192,draws,34,brags,18,araks,13,crams,1,crass,,,,,,
craze,6,53,crare,6,crane,5,crave,4,crake,1,craze,,,,,,
crazy,6,192,draws,47,crank,6,cramp,4,craal,1,crazy,,,,,,
cross,6,195,croon,10,crock,7,crops,3,crogs,1,cross,,,,,,
crowd,6,195,croon,10,crock,7,crops,2,cromb,1,crowd,,,,,,
curvy,6,298,cursi,6,curly,4,curry,3,curdy,1,curvy,,,,,,
diver,6,477,drier,5,diner,4,dicer,3,diker,1,diver,,,,,,
dizzy,6,920,shily,60,dingy,5,dicky,4,diddy,1,dizzy,,,,,,
dopey,6,264,woven,163,model,44,boked,8,doges,1,dopey,,,,,,
dozen,6,264,woven,15,boxen,14,coden,2,doyen,1,dozen,,,,,,
drama,6,192,draws,6,drain,3,drack,2,draff,1,drama,,,,,,
droop,6,195,croon,14,brood,4,drool,3,droog,1,droop,,,,,,
drove,6,45,prore,19,drone,4,droke,3,drole,1,drove,,,,,,
dully,6,920,shily,8,fugly,5,bully,3,cully,1,dully,,,,,,
ember,6,477,drier,65,luser,21,hewer,4,egger,1,ember,,,,,,
eying,6,1054,lined,22,being,4,eking,3,ehing,1,eying,,,,,,
femme,6,324,guile,55,scene,9,bedye,5,fehme,1,femme,,,,,,
fixer,6,477,drier,49,finer,5,fiber,4,filer,1,fixer,,,,,,
fizzy,6,920,shily,60,dingy,20,jimpy,8,biccy,1,fizzy,,,,,,
fleck,6,1054,lined,88,shell,4,elegy,2,cleck,1,fleck,,,,,,
floss,6,422,snool,31,flogs,5,flobs,4,flocs,1,floss,,,,,,
frame,6,53,crare,20,grade,11,brake,6,erase,1,frame,,,,,,
