,Number,After 1,2,After 2,3,After 3,4,After 4,5,After 5,6,After 6,7,After 7,8,After 8,9
aback,5,168,clank,6,quack,5,whack,1,aback,,,,,,,,
abase,4,15,chase,9,lease,2,abase,,,,,,,,,,
abate,4,72,plage,28,knave,12,abate,,,,,,,,,,
abbey,4,349,clean,86,matey,1,abbey,,,,,,,,,,
abbot,3,195,aloft,2,abbot,,,,,,,,,,,,
abhor,3,79,manor,5,abhor,,,,,,,,,,,,
abide,3,156,maile,6,abide,,,,,,,,,,,,
abled,4,349,clean,51,bagel,2,abled,,,,,,,,,,
abode,2,23,abode,,,,,,,,,,,,,,
abort,3,16,acorn,6,abort,,,,,,,,,,,,
about,3,195,aloft,4,about,,,,,,,,,,,,
above,3,23,abode,1,above,,,,,,,,,,,,
abuse,3,36,paste,6,abuse,,,,,,,,,,,,
abyss,3,601,pasty,14,abyss,,,,,,,,,,,,
acorn,2,16,acorn,,,,,,,,,,,,,,
acrid,4,251,rainy,33,vicar,4,acrid,,,,,,,,,,
actor,4,79,manor,5,abhor,3,actor,,,,,,,,,,
acute,3,156,maile,14,acute,,,,,,,,,,,,
adage,4,72,plage,3,image,2,adage,,,,,,,,,,
adapt,3,168,clank,31,adapt,,,,,,,,,,,,
adept,3,349,clean,10,adept,,,,,,,,,,,,
admin,4,769,canty,60,align,2,admin,,,,,,,,,,
admit,4,769,canty,24,tidal,1,admit,,,,,,,,,,
adobe,3,23,abode,1,adobe,,,,,,,,,,,,
adopt,4,195,aloft,4,about,3,adopt,,,,,,,,,,
adore,2,3,adore,,,,,,,,,,,,,,
adorn,3,16,acorn,1,adorn,,,,,,,,,,,,
adult,4,769,canty,24,tidal,1,adult,,,,,,,,,,
affix,5,769,canty,96,aumil,2,aphid,1,affix,,,,,,,,
afire,2,23,afire,,,,,,,,,,,,,,
afoot,3,195,aloft,1,afoot,,,,,,,,,,,,
afoul,3,195,aloft,1,afoul,,,,,,,,,,,,
after,3,257,later,2,after,,,,,,,,,,,,
again,3,168,clank,9,again,,,,,,,,,,,,
agape,3,72,plage,1,agape,,,,,,,,,,,,
agate,3,72,plage,3,agate,,,,,,,,,,,,
agent,4,349,clean,11,amend,3,agent,,,,,,,,,,
agile,3,156,maile,3,agile,,,,,,,,,,,,
aging,5,769,canty,60,align,6,aping,1,aging,,,,,,,,
aglow,3,195,aloft,7,aglow,,,,,,,,,,,,
agony,3,195,aloft,14,agony,,,,,,,,,,,,
agora,4,16,acorn,6,abort,2,agora,,,,,,,,,,
agree,3,56,barge,1,agree,,,,,,,,,,,,
ahead,4,349,clean,7,wheat,2,ahead,,,,,,,,,,
aider,3,257,later,14,aider,,,,,,,,,,,,
aisle,3,36,paste,2,aisle,,,,,,,,,,,,
alarm,4,43,chard,23,quart,12,alarm,,,,,,,,,,
album,4,769,canty,96,aumil,2,album,,,,,,,,,,
alert,2,15,alert,,,,,,,,,,,,,,
algae,3,156,maile,7,algae,,,,,,,,,,,,
alibi,4,769,canty,96,aumil,2,alibi,,,,,,,,,,
alien,3,349,clean,1,alien,,,,,,,,,,,,
align,3,769,canty,60,align,,,,,,,,,,,,
alike,3,156,maile,3,alike,,,,,,,,,,,,
alive,4,156,maile,3,alike,2,alive,,,,,,,,,,
allay,4,769,canty,9,amply,2,allay,,,,,,,,,,
alley,3,349,clean,4,alley,,,,,,,,,,,,
allot,3,195,aloft,1,allot,,,,,,,,,,,,
allow,3,195,aloft,4,allow,,,,,,,,,,,,
alloy,4,195,aloft,4,allow,2,alloy,,,,,,,,,,
aloft,2,195,aloft,,,,,,,,,,,,,,
alone,3,23,abode,13,alone,,,,,,,,,,,,
along,3,195,aloft,4,along,,,,,,,,,,,,
aloof,3,195,aloft,1,aloof,,,,,,,,,,,,
aloud,4,195,aloft,4,along,2,aloud,,,,,,,,,,
alpha,4,769,canty,96,aumil,2,alpha,,,,,,,,,,
altar,4,251,rainy,35,aural,2,altar,,,,,,,,,,
alter,3,257,later,1,alter,,,,,,,,,,,,
amass,4,149,clash,8,quasi,5,amass,,,,,,,,,,
amaze,5,72,plage,28,knave,12,abate,1,amaze,,,,,,,,
amber,4,257,later,14,aider,9,amber,,,,,,,,,,
amble,3,156,maile,2,amble,,,,,,,,,,,,
amend,3,349,clean,11,amend,,,,,,,,,,,,
amiss,4,601,pasty,76,amias,3,amiss,,,,,,,,,,
amity,3,769,canty,1,amity,,,,,,,,,,,,
among,4,195,aloft,14,agony,1,among,,,,,,,,,,
ample,4,156,maile,2,amble,1,ample,,,,,,,,,,
amply,3,769,canty,9,amply,,,,,,,,,,,,
amuse,4,36,paste,6,abuse,1,amuse,,,,,,,,,,
angel,4,349,clean,4,navel,1,angel,,,,,,,,,,
anger,5,257,later,14,aider,9,amber,1,anger,,,,,,,,
angle,3,156,maile,7,angle,,,,,,,,,,,,
angry,3,74,hairy,5,angry,,,,,,,,,,,,
angst,3,601,pasty,21,angst,,,,,,,,,,,,
anime,3,156,maile,4,anime,,,,,,,,,,,,
ankle,4,156,maile,7,angle,3,ankle,,,,,,,,,,
annex,3,349,clean,31,annex,,,,,,,,,,,,
annoy,4,195,aloft,20,axion,1,annoy,,,,,,,,,,
annul,4,769,canty,20,final,1,annul,,,,,,,,,,
anode,3,23,abode,2,anode,,,,,,,,,,,,
antic,3,769,canty,2,antic,,,,,,,,,,,,
anvil,4,769,canty,60,align,1,anvil,,,,,,,,,,
aorta,3,54,moral,8,aorta,,,,,,,,,,,,
apart,4,43,chard,23,quart,4,apart,,,,,,,,,,
aphid,4,769,canty,96,aumil,2,aphid,,,,,,,,,,
aping,4,769,canty,60,align,6,aping,,,,,,,,,,
apnea,4,349,clean,31,annex,2,apnea,,,,,,,,,,
apple,4,156,maile,7,angle,3,apple,,,,,,,,,,
apply,4,769,canty,9,amply,1,apply,,,,,,,,,,
apron,3,79,manor,2,apron,,,,,,,,,,,,
aptly,3,769,canty,2,aptly,,,,,,,,,,,,
arbor,4,79,manor,5,abhor,1,arbor,,,,,,,,,,
ardor,5,79,manor,5,abhor,3,actor,1,ardor,,,,,,,,
arena,4,257,later,48,break,9,arena,,,,,,,,,,
argue,3,56,barge,3,argue,,,,,,,,,,,,
arise,3,8,raise,1,arise,,,,,,,,,,,,
armor,3,79,manor,1,armor,,,,,,,,,,,,
aroma,3,79,manor,3,aroma,,,,,,,,,,,,
arose,2,1,arose,,,,,,,,,,,,,,
array,3,251,rainy,2,array,,,,,,,,,,,,
arrow,3,79,manor,5,arrow,,,,,,,,,,,,
arson,2,15,arson,,,,,,,,,,,,,,
artsy,3,161,marsh,1,artsy,,,,,,,,,,,,
ascot,3,80,mason,12,ascot,,,,,,,,,,,,
ashen,3,219,asset,5,ashen,,,,,,,,,,,,
aside,4,36,paste,6,abuse,1,aside,,,,,,,,,,
askew,4,219,asset,5,ashen,2,askew,,,,,,,,,,
assay,3,601,pasty,2,assay,,,,,,,,,,,,
asset,2,219,asset,,,,,,,,,,,,,,
atoll,3,195,aloft,1,atoll,,,,,,,,,,,,
atone,4,23,abode,13,alone,3,atone,,,,,,,,,,
attic,3,769,canty,6,attic,,,,,,,,,,,,
audio,4,195,aloft,20,axion,2,audio,,,,,,,,,,
audit,4,769,canty,24,tidal,1,audit,,,,,,,,,,
augur,4,251,rainy,35,aural,1,augur,,,,,,,,,,
aunty,3,769,canty,1,aunty,,,,,,,,,,,,
avail,4,168,clank,13,quail,1,avail,,,,,,,,,,
avert,3,15,alert,2,avert,,,,,,,,,,,,
avian,4,769,canty,60,align,2,avian,,,,,,,,,,
avoid,4,195,aloft,14,agony,8,avoid,,,,,,,,,,
await,4,168,clank,31,adapt,3,await,,,,,,,,,,
awake,5,72,plage,28,knave,2,quake,1,awake,,,,,,,,
award,4,43,chard,5,guard,4,award,,,,,,,,,,
aware,3,19,blare,14,aware,,,,,,,,,,,,
awash,5,149,clash,4,gnash,3,quash,1,awash,,,,,,,,
awful,4,769,canty,96,aumil,2,awful,,,,,,,,,,
awoke,4,23,abode,13,alone,5,awoke,,,,,,,,,,
axial,4,769,canty,96,aumil,1,axial,,,,,,,,,,
axiom,4,195,aloft,20,axion,1,axiom,,,,,,,,,,
axion,3,195,aloft,20,axion,,,,,,,,,,,,
azure,3,23,afire,5,azure,,,,,,,,,,,,
bacon,3,195,aloft,54,bacon,,,,,,,,,,,,
badge,4,156,maile,40,gauge,4,badge,,,,,,,,,,
badly,3,769,canty,64,badly,,,,,,,,,,,,
bagel,3,349,clean,51,bagel,,,,,,,,,,,,
baggy,4,769,canty,64,badly,2,baggy,,,,,,,,,,
baker,5,257,later,59,gaper,37,waker,2,baker,,,,,,,,
baler,3,257,later,4,baler,,,,,,,,,,,,
balmy,4,769,canty,64,badly,2,balmy,,,,,,,,,,
banal,4,769,canty,32,manga,6,banal,,,,,,,,,,
banjo,4,195,aloft,54,bacon,1,banjo,,,,,,,,,,
barge,2,56,barge,,,,,,,,,,,,,,
baron,3,79,manor,5,baron,,,,,,,,,,,,
basal,4,601,pasty,26,basil,1,basal,,,,,,,,,,
basic,4,601,pasty,26,basil,4,basic,,,,,,,,,,
basil,3,601,pasty,26,basil,,,,,,,,,,,,
basin,5,601,pasty,26,basil,4,basic,2,basin,,,,,,,,
basis,6,601,pasty,26,basil,4,basic,2,basin,1,basis,,,,,,
baste,3,36,paste,5,baste,,,,,,,,,,,,
batch,3,769,canty,9,batch,,,,,,,,,,,,
bathe,4,156,maile,40,gauge,23,bathe,,,,,,,,,,
baton,3,195,aloft,18,baton,,,,,,,,,,,,
batty,3,769,canty,8,batty,,,,,,,,,,,,
bawdy,4,769,canty,64,badly,1,bawdy,,,,,,,,,,
bayou,4,195,aloft,54,bacon,3,bayou,,,,,,,,,,
beach,3,51,leach,3,beach,,,,,,,,,,,,
beady,4,51,leach,16,meaty,6,beady,,,,,,,,,,
beard,3,16,heard,2,beard,,,,,,,,,,,,
beast,3,70,least,4,beast,,,,,,,,,,,,
beech,4,608,inlet,40,beefy,1,beech,,,,,,,,,,
beefy,3,608,inlet,40,beefy,,,,,,,,,,,,
befit,4,608,inlet,11,edict,4,befit,,,,,,,,,,
began,3,349,clean,6,began,,,,,,,,,,,,
begat,3,349,clean,17,begat,,,,,,,,,,,,
beget,4,608,inlet,8,duvet,5,beget,,,,,,,,,,
begin,4,608,inlet,23,being,1,begin,,,,,,,,,,
begun,4,608,inlet,24,bench,1,begun,,,,,,,,,,
being,3,608,inlet,23,being,,,,,,,,,,,,
belch,3,608,inlet,13,belch,,,,,,,,,,,,
belie,4,302,tuile,8,bilge,1,belie,,,,,,,,,,
belle,4,302,tuile,6,cycle,3,belle,,,,,,,,,,
belly,4,608,inlet,13,belch,1,belly,,,,,,,,,,
below,3,123,melon,3,below,,,,,,,,,,,,
bench,3,608,inlet,24,bench,,,,,,,,,,,,
beret,4,401,cider,42,greet,5,beret,,,,,,,,,,
berry,3,44,leery,15,berry,,,,,,,,,,,,
berth,4,401,cider,32,perky,5,berth,,,,,,,,,,
beset,4,640,guest,4,islet,1,beset,,,,,,,,,,
betel,3,608,inlet,5,betel,,,,,,,,,,,,
bevel,3,608,inlet,39,bevel,,,,,,,,,,,,
bezel,4,608,inlet,39,bevel,2,bezel,,,,,,,,,,
bible,3,302,tuile,7,bible,,,,,,,,,,,,
bicep,3,608,inlet,40,bicep,,,,,,,,,,,,
biddy,4,577,linty,42,dippy,6,biddy,,,,,,,,,,
bigot,3,254,biont,1,bigot,,,,,,,,,,,,
bilge,3,302,tuile,8,bilge,,,,,,,,,,,,
billy,4,577,linty,14,dilly,5,billy,,,,,,,,,,
binge,4,302,tuile,46,mince,8,binge,,,,,,,,,,
bingo,3,254,biont,2,bingo,,,,,,,,,,,,
biome,3,62,clone,13,biome,,,,,,,,,,,,
birch,3,175,briny,3,birch,,,,,,,,,,,,
birth,4,175,briny,3,birch,1,birth,,,,,,,,,,
bison,3,170,glost,54,bison,,,,,,,,,,,,
bitty,3,577,linty,9,bitty,,,,,,,,,,,,
black,3,168,clank,4,black,,,,,,,,,,,,
blade,4,72,plage,13,blame,3,blade,,,,,,,,,,
blame,3,72,plage,13,blame,,,,,,,,,,,,
bland,3,168,clank,6,bland,,,,,,,,,,,,
blank,3,168,clank,3,blank,,,,,,,,,,,,
blare,2,19,blare,,,,,,,,,,,,,,
blast,3,149,clash,5,blast,,,,,,,,,,,,
blaze,5,72,plage,13,blame,3,blade,1,blaze,,,,,,,,
bleak,4,349,clean,7,bleat,1,bleak,,,,,,,,,,
bleat,3,349,clean,7,bleat,,,,,,,,,,,,
bleed,4,608,inlet,39,bevel,2,bleed,,,,,,,,,,
bleep,5,608,inlet,39,bevel,2,bleed,1,bleep,,,,,,,,
blend,3,608,inlet,3,blend,,,,,,,,,,,,
bless,4,640,guest,5,flesh,1,bless,,,,,,,,,,
blimp,4,577,linty,24,child,4,blimp,,,,,,,,,,
blind,4,577,linty,11,bling,3,blind,,,,,,,,,,
blink,5,577,linty,11,bling,3,blind,1,blink,,,,,,,,
bliss,4,505,mushy,125,blist,1,bliss,,,,,,,,,,
