,Number,After 1,2,After 2,3,After 3,4,After 4,5,After 5,6,After 6,7,After 7,8,After 8,9
jolly,7,194,lousy,10,dolly,4,folly,3,golly,2,holly,1,jolly,,,,
rover,7,92,loser,17,mower,10,gucky,3,boxer,2,hover,1,rover,,,,
shave,7,40,shale,5,shade,4,shake,3,shame,2,shape,1,shave,,,,
swore,7,38,rouse,5,score,4,shore,3,snore,2,spore,1,swore,,,,
tatty,7,15,nasty,5,batty,4,catty,3,fatty,2,patty,1,tatty,,,,
vaunt,7,55,talon,5,daunt,4,gaunt,3,haunt,2,jaunt,1,vaunt,,,,
willy,7,130,sling,15,dilly,4,billy,3,filly,2,hilly,1,willy,,,,
cover,6,92,loser,17,mower,10,gucky,2,corer,1,cover,,,,,,
crazy,6,27,drawn,12,crash,3,crack,2,cramp,1,crazy,,,,,,
fewer,6,92,loser,17,under,7,beefy,3,fever,1,fewer,,,,,,
fixer,6,34,risen,10,diver,4,fiber,2,filer,1,fixer,,,,,,
frame,6,15,grace,6,brake,3,drape,2,erase,1,frame,,,,,,
gazer,6,45,paler,13,wager,3,gamer,2,gayer,1,gazer,,,,,,
glare,6,8,scare,4,aware,3,blare,2,flare,1,glare,,,,,,
graze,6,15,grace,4,grade,3,grape,2,grave,1,graze,,,,,,
grill,6,25,brink,10,primo,3,drill,2,frill,1,grill,,,,,,
grown,6,39,drown,4,brown,3,crown,2,frown,1,grown,,,,,,
gully,6,194,lousy,6,bully,3,dully,2,fully,1,gully,,,,,,
hatch,6,55,talon,11,match,5,cowps,2,batch,1,hatch,,,,,,
hilly,6,130,sling,15,dilly,4,billy,3,filly,2,hilly,,,,,,
holly,6,194,lousy,10,dolly,4,folly,3,golly,2,holly,,,,,,
hover,6,92,loser,17,mower,10,gucky,3,boxer,2,hover,,,,,,
jaunt,6,55,talon,5,daunt,4,gaunt,3,haunt,2,jaunt,,,,,,
judge,6,80,louse,9,nudge,3,budge,2,fudge,1,judge,,,,,,
lapel,6,55,clean,8,bagel,3,easel,2,hazel,1,lapel,,,,,,
maker,6,45,paler,13,wager,6,racks,2,baker,1,maker,,,,,,
mammy,6,118,salon,19,gawky,7,caped,2,jazzy,1,mammy,,,,,,
merry,6,92,loser,14,decry,3,berry,2,ferry,1,merry,,,,,,
miner,6,34,risen,5,diner,3,finer,2,liner,1,miner,,,,,,
musty,6,24,south,4,dusty,3,gusty,2,lusty,1,musty,,,,,,
noose,6,80,louse,5,copse,3,goose,2,moose,1,noose,,,,,,
patty,6,15,nasty,5,batty,4,catty,3,fatty,2,patty,,,,,,
pixie,6,53,singe,6,biome,3,piece,2,pique,1,pixie,,,,,,
plane,6,40,shale,10,blade,5,flimp,2,place,1,plane,,,,,,
poker,6,92,loser,17,mower,10,gucky,2,joker,1,poker,,,,,,
pushy,6,194,lousy,7,husky,3,bushy,2,mushy,1,pushy,,,,,,
queer,6,92,loser,17,under,3,buyer,2,purer,1,queer,,,,,,
refer,6,92,loser,17,under,7,beefy,3,fever,1,refer,,,,,,
rower,6,92,loser,17,mower,3,cower,2,power,1,rower,,,,,,
saner,6,45,paler,13,wager,6,racks,2,safer,1,saner,,,,,,
savvy,6,118,salon,4,sassy,3,saucy,2,sappy,1,savvy,,,,,,
shape,6,40,shale,5,shade,4,shake,3,shame,2,shape,,,,,,
slush,6,194,lousy,4,blush,3,flush,2,plush,1,slush,,,,,,
solar,6,60,carol,4,flora,3,molar,2,polar,1,solar,,,,,,
spike,6,53,singe,7,slime,3,seize,2,spice,1,spike,,,,,,
spoon,6,194,lousy,12,scoop,3,spoof,2,spook,1,spoon,,,,,,
spore,6,38,rouse,5,score,4,shore,3,snore,2,spore,,,,,,
staff,6,21,slant,4,stack,3,stamp,2,stash,1,staff,,,,,,
story,6,27,torus,6,short,3,stork,2,storm,1,story,,,,,,
stout,6,47,shout,4,scout,3,snout,2,spout,1,stout,,,,,,
stove,6,13,those,4,stoke,3,stole,2,stone,1,stove,,,,,,
stuff,6,47,shout,6,stunk,3,study,2,stump,1,stuff,,,,,,
swarm,6,20,shard,5,scarf,3,snarl,2,spark,1,swarm,,,,,,
swear,6,45,paler,6,debar,3,shear,2,smear,1,swear,,,,,,
swell,6,106,olden,14,shell,3,smell,2,spell,1,swell,,,,,,
taste,6,10,saute,6,baste,5,cahow,2,paste,1,taste,,,,,,
tight,6,64,hoist,6,fight,5,blawn,2,might,1,tight,,,,,,
truss,6,17,trout,5,truck,3,truly,2,trump,1,truss,,,,,,
vouch,6,194,lousy,12,hound,5,pubco,2,couch,1,vouch,,,,,,
water,6,14,later,4,cater,3,eater,2,hater,1,water,,,,,,
winch,6,130,sling,13,pinch,3,cinch,2,finch,1,winch,,,,,,
wooly,6,194,lousy,10,dolly,3,coyly,2,nobly,1,wooly,,,,,,
wound,6,194,lousy,12,hound,5,abamp,2,found,1,wound,,,,,,
abbot,5,55,talon,3,afoot,2,ascot,1,abbot,,,,,,,,
agape,5,40,shale,9,awake,3,adage,1,agape,,,,,,,,
amaze,5,40,shale,9,awake,3,adage,1,amaze,,,,,,,,
baker,5,45,paler,13,wager,6,racks,2,baker,,,,,,,,
batch,5,55,talon,11,match,5,cowps,2,batch,,,,,,,,
blaze,5,40,shale,10,blade,2,blame,1,blaze,,,,,,,,
blood,5,194,lousy,12,block,4,blond,1,blood,,,,,,,,
bloom,5,194,lousy,12,block,4,blond,1,bloom,,,,,,,,
blown,5,194,lousy,12,block,4,blond,1,blown,,,,,,,,
bobby,5,194,lousy,16,woody,5,bumph,1,bobby,,,,,,,,
booby,5,194,lousy,16,woody,3,boozy,1,booby,,,,,,,,
bough,5,194,lousy,12,hound,5,pubco,1,bough,,,,,,,,
bound,5,194,lousy,12,hound,5,abamp,1,bound,,,,,,,,
boxer,5,92,loser,17,mower,10,gucky,3,boxer,,,,,,,,
buggy,5,194,lousy,19,dumpy,6,bhang,1,buggy,,,,,,,,
bunny,5,194,lousy,19,dumpy,6,bhang,1,bunny,,,,,,,,
cabby,5,118,salon,19,gawky,7,caped,1,cabby,,,,,,,,
caddy,5,118,salon,19,gawky,7,caped,1,caddy,,,,,,,,
caste,5,10,saute,6,baste,5,cahow,1,caste,,,,,,,,
catch,5,55,talon,11,match,5,cowps,1,catch,,,,,,,,
cheer,5,92,loser,17,under,7,beefy,1,cheer,,,,,,,,
