Coefficient,Counter,Mean,Median,Mode,Std,Min,Max,,2,3,4,5,6,7,8,9,Loss
0.1,2,3.791792657,4,4,0.942778409,2,8,,106,836,940,329,79,21,4,,25
0.2,2,3.774946004,4,4,0.938209054,2,8,,107,850,948,307,77,22,4,,26
0.5,2,3.695032397,4,3,0.903722294,2,8,,112,932,929,259,63,15,5,,20
1,2,3.768466523,4,4,0.926662433,2,9,,92,863,985,278,67,22,7,1,30
2,2,3.988336933,4,4,0.996470033,2,9,,30,777,920,423,123,29,11,2,42
5,2,4.026349892,4,4,0.997056717,2,9,,17,759,920,444,129,34,10,2,46
10,2,4.055723542,4,4,1.007490663,2,9,,17,737,913,455,148,32,12,1,45
0.1,1,3.788336933,4,4,0.964216151,2,8,,127,816,933,329,83,23,4,,27
0.2,1,3.768466523,4,4,0.953768938,2,8,,127,833,939,311,79,22,4,,26
0.5,1,3.723542117,4,4,0.922262912,2,8,,127,871,948,276,72,19,2,,21
1,1,3.735637149,4,4,0.947933967,2,8,,128,866,947,273,72,23,6,,29
2,1,3.919654428,4,4,1.067698869,2,9,,125,750,853,416,126,35,9,1,45
5,1,4.002159827,4,4,1.091294672,2,9,,125,667,858,469,149,35,10,2,47
10,1,4.001727862,4,4,1.091097509,2,9,,125,667,859,468,149,35,10,2,47
