Method,Counter,Mean,Median,Mode,Std,Min,Max,1,2,3,4,5,6,7,8,9,Loss
Score,0,3.663930886,4,3,0.910352797,1,8,1,123,969,887,255,60,15,5,,20
Score,1,3.666522678,4,3,0.918858224,2,9,,126,959,905,241,63,14,5,2,21
Score,2,3.698056156,4,3,0.902585978,2,9,,82,1000,882,265,66,14,4,2,20
Score,3,3.831965443,4,4,0.844659134,2,9,,82,667,1228,260,60,12,4,2,18
Score,4,4.003887689,4,4,0.952651185,2,9,,82,667,824,669,56,11,4,2,17
Score,5,4.109287257,4,4,1.098860656,2,9,,82,667,824,421,307,9,3,2,14
Weighted Sum,0,3.630669546,4,4,0.869254655,1,9,1,132,946,958,221,41,11,3,2,16
Weighted Sum,1,3.723542117,4,4,0.922262912,2,8,,127,871,948,276,72,19,2,,21
Weighted Sum,2,3.695032397,4,3,0.903722294,2,8,,112,932,929,259,63,15,5,,20
Weighted Sum,3,3.703671706,4,4,0.898935966,2,8,,112,906,960,256,60,16,5,,21
Weighted Sum,4,3.704103672,4,4,0.895949854,2,8,,112,906,955,263,59,16,4,,20
Weighted Sum,5,3.704103672,4,4,0.895467593,2,8,,112,906,955,262,61,15,4,,19
Occrurrence,0,3.684665227,4,4,0.91302209,1,8,1,130,912,932,262,56,17,5,,22
Occrurrence,1,3.735637149,4,4,0.947933967,2,8,,128,866,947,273,72,23,6,,29
Occrurrence,2,3.768466523,4,4,0.926662433,2,9,,92,863,985,278,67,22,7,1,30
Occrurrence,3,3.813390929,4,4,0.907226776,2,9,,92,754,1095,279,67,20,7,1,28
Occrurrence,4,3.854859611,4,4,0.930693981,2,8,,92,754,991,388,63,20,7,,27
Occrurrence,5,3.874298056,4,4,0.962452935,2,8,,92,754,991,340,113,19,6,,25
0.1,2,3.791792657,4,4,0.942778409,2,8,,106,836,940,329,79,21,4,,25
0.2,2,3.774946004,4,4,0.938209054,2,8,,107,850,948,307,77,22,4,,26
0.5,2,3.695032397,4,3,0.903722294,2,8,,112,932,929,259,63,15,5,,20
1,2,3.768466523,4,4,0.926662433,2,9,,92,863,985,278,67,22,7,1,30
2,2,3.988336933,4,4,0.996470033,2,9,,30,777,920,423,123,29,11,2,42
5,2,4.026349892,4,4,0.997056717,2,9,,17,759,920,444,129,34,10,2,46
10,2,4.055723542,4,4,1.007490663,2,9,,17,737,913,455,148,32,12,1,45
0.1,1,3.788336933,4,4,0.964216151,2,8,,127,816,933,329,83,23,4,,27
0.2,1,3.768466523,4,4,0.953768938,2,8,,127,833,939,311,79,22,4,,26
0.5,1,3.723542117,4,4,0.922262912,2,8,,127,871,948,276,72,19,2,,21
1,1,3.735637149,4,4,0.947933967,2,8,,128,866,947,273,72,23,6,,29
2,1,3.919654428,4,4,1.067698869,2,9,,125,750,853,416,126,35,9,1,45
5,1,4.002159827,4,4,1.091294672,2,9,,125,667,858,469,149,35,10,2,47
10,1,4.001727862,4,4,1.091097509,2,9,,125,667,859,468,149,35,10,2,47
