Word,Answer
aahed,False
aalii,False
aargh,False
aarti,False
abaca,False
abaci,False
aback,True
abacs,False
abaft,False
abaka,False
abamp,False
aband,False
abase,True
abash,False
abask,False
abate,True
abaya,False
abbas,False
abbed,False
abbes,False
abbey,True
abbot,True
abcee,False
abeam,False
abear,False
abele,False
abers,False
abets,False
abhor,True
abide,True
abies,False
abled,True
abler,False
ables,False
ablet,False
ablow,False
abmho,False
abode,True
abohm,False
aboil,False
aboma,False
aboon,False
abord,False
abore,False
abort,True
about,True
above,True
abram,False
abray,False
abrim,False
abrin,False
abris,False
absey,False
absit,False
abuna,False
abune,False
abuse,True
abuts,False
abuzz,False
abyes,False
abysm,False
abyss,True
acais,False
acari,False
accas,False
accoy,False
acerb,False
acers,False
aceta,False
achar,False
ached,False
aches,False
achoo,False
acids,False
acidy,False
acing,False
acini,False
ackee,False
acker,False
acmes,False
acmic,False
acned,False
acnes,False
acock,False
acold,False
acorn,True
acred,False
acres,False
acrid,True
acros,False
acted,False
actin,False
acton,False
actor,True
acute,True
acyls,False
adage,True
adapt,True
adaws,False
adays,False
adbot,False
addax,False
added,False
adder,False
addio,False
addle,False
adeem,False
adept,True
adhan,False
adieu,False
adios,False
adits,False
adman,False
admen,False
admin,True
admit,True
admix,False
adobe,True
adobo,False
adopt,True
adore,True
adorn,True
adown,False
adoze,False
adrad,False
adred,False
adsum,False
aduki,False
adult,True
adunc,False
adust,False
advew,False
adyta,False
adzed,False
adzes,False
aecia,False
aedes,False
aegis,False
aeons,False
aerie,False
aeros,False
aesir,False
afald,False
afara,False
afars,False
afear,False
affix,True
afire,True
aflaj,False
afoot,True
afore,False
afoul,True
afrit,False
afros,False
after,True
again,True
agama,False
agami,False
agape,True
agars,False
agast,False
agate,True
agave,False
agaze,False
agene,False
agent,True
agers,False
agger,False
aggie,False
aggri,False
aggro,False
aggry,False
aghas,False
agila,False
agile,True
aging,True
agios,False
agism,False
agist,False
agita,False
aglee,False
aglet,False
agley,False
agloo,False
aglow,True
aglus,False
agmas,False
agoge,False
agone,False
agons,False
agony,True
agood,False
agora,True
agree,True
agria,False
agrin,False
agros,False
agued,False
agues,False
aguna,False
aguti,False
ahead,True
aheap,False
ahent,False
ahigh,False
ahind,False
ahing,False
ahint,False
ahold,False
ahull,False
ahuru,False
aidas,False
aided,False
aider,True
aides,False
aidoi,False
aidos,False
aiery,False
aigas,False
aight,False
ailed,False
aimed,False
aimer,False
ainee,False
ainga,False
aioli,False
aired,False
airer,False
airns,False
airth,False
airts,False
aisle,True
aitch,False
aitus,False
aiver,False
aiyee,False
aizle,False
ajies,False
ajiva,False
ajuga,False
ajwan,False
akees,False
akela,False
akene,False
aking,False
akita,False
akkas,False
alaap,False
alack,False
alamo,False
aland,False
alane,False
alang,False
alans,False
alant,False
alapa,False
alaps,False
alarm,True
alary,False
alate,False
alays,False
albas,False
albee,False
album,True
alcid,False
alcos,False
aldea,False
alder,False
aldol,False
aleck,False
alecs,False
alefs,False
aleft,False
aleph,False
alert,True
alews,False
aleye,False
alfas,False
algae,True
algal,False
algas,False
algid,False
algin,False
algor,False
algum,False
alias,False
alibi,True
alien,True
alifs,False
align,True
alike,True
aline,False
alist,False
alive,True
aliya,False
alkie,False
alkos,False
alkyd,False
alkyl,False
allay,True
allee,False
allel,False
alley,True
allis,False
allod,False
allot,True
allow,True
alloy,True
allyl,False
almah,False
almas,False
almeh,False
almes,False
almud,False
almug,False
alods,False
aloed,False
aloes,False
aloft,True
aloha,False
aloin,False
alone,True
along,True
aloof,True
aloos,False
aloud,True
alowe,False
alpha,True
altar,True
alter,True
altho,False
altos,False
alula,False
alums,False
alure,False
alvar,False
alway,False
amahs,False
amain,False
amass,True
amate,False
amaut,False
amaze,True
amban,False
amber,True
ambit,False
amble,True
ambos,False
ambry,False
ameba,False
ameer,False
amend,True
amene,False
amens,False
ament,False
amias,False
amice,False
amici,False
amide,False
amido,False
amids,False
amies,False
amiga,False
amigo,False
amine,False
amino,False
amins,False
amirs,False
amiss,True
amity,True
amlas,False
amman,False
ammon,False
ammos,False
amnia,False
amnic,False
amnio,False
amoks,False
amole,False
among,True
amort,False
amour,False
amove,False
amowt,False
amped,False
ample,True
amply,True
ampul,False
amrit,False
amuck,False
amuse,True
amyls,False
anana,False
anata,False
ancho,False
ancle,False
ancon,False
andro,False
anear,False
anele,False
anent,False
angas,False
angel,True
anger,True
angle,True
anglo,False
angry,True
angst,True
anigh,False
anile,False
anils,False
anima,False
anime,True
animi,False
