,Total,Position 1,Position 2,Position 3,Position 4,Position 5
a,909,141,304,307,163,64
b,267,173,16,57,24,11
c,448,198,40,56,152,31
d,370,111,20,75,69,118
e,1056,72,242,177,318,424
f,207,136,8,25,35,26
g,300,115,12,67,76,41
h,379,69,144,9,28,139
i,647,34,202,266,158,11
j,27,20,2,3,2,0
k,202,20,10,12,55,113
l,648,88,201,112,162,156
m,298,107,38,61,68,42
n,550,37,87,139,182,130
o,673,41,279,244,132,58
p,346,142,61,58,50,56
q,29,23,5,1,0,0
r,837,105,267,163,152,212
s,618,366,16,80,171,36
t,667,149,77,111,139,253
u,457,33,186,165,82,1
v,149,43,15,49,46,0
w,194,83,44,26,25,17
x,37,0,14,12,3,8
y,417,6,23,29,3,364
z,35,3,2,11,20,4
