Word,Answer,Score,Occurrence,Green,Yellow,Weighted Sum
roate,FALSE,6761886,4142,1254,2888,2698
soare,FALSE,6757516,4093,1528,2565,2810.5
orate,FALSE,6753202,4142,1178,2964,2660
irate,TRUE,6722262,4116,1171,2945,2643.5
raile,FALSE,6712882,4097,1261,2836,2679
taler,FALSE,6712394,4117,1095,3022,2606
arose,TRUE,6708015,4093,1247,2846,2670
oater,FALSE,6687658,4142,986,3156,2564
stare,TRUE,6687170,4087,1326,2761,2706.5
later,TRUE,6686176,4117,1033,3084,2575
raise,TRUE,6679117,4067,1270,2797,2668.5
arise,TRUE,6678815,4067,1269,2798,2668
ariel,FALSE,6677316,4097,1148,2949,2622.5
taser,FALSE,6663932,4087,1063,3024,2575
ratel,FALSE,6658008,4117,994,3123,2555.5
artel,FALSE,6657706,4117,993,3124,2555
alter,TRUE,6651111,4117,983,3134,2550
reast,FALSE,6632447,4087,1078,3009,2582.5
strae,FALSE,6629696,4087,1193,2894,2640
tares,FALSE,6619206,4087,970,3117,2528.5
laser,FALSE,6617030,4068,1002,3066,2535
realo,FALSE,6602990,4123,874,3249,2498.5
raine,FALSE,6591660,3999,1281,2718,2640
alert,TRUE,6586656,4117,924,3193,2520.5
tears,FALSE,6576662,4087,886,3201,2486.5
lares,FALSE,6572304,4068,909,3159,2488.5
seral,FALSE,6571038,4068,1090,2978,2579
rates,FALSE,6570738,4087,874,3213,2480.5
saner,TRUE,6564605,3970,1339,2631,2654.5
snare,TRUE,6553555,3970,1336,2634,2653
rales,FALSE,6550054,4068,875,3193,2471.5
arles,FALSE,6549752,4068,874,3194,2471
slate,TRUE,6543989,3898,1437,2461,2667.5
stear,FALSE,6539949,4087,995,3092,2541
aster,FALSE,6539426,4087,798,3289,2442.5
earst,FALSE,6538415,4087,963,3124,2525
resat,FALSE,6535834,4087,843,3244,2465
terai,FALSE,6535682,4116,728,3388,2422
reals,FALSE,6531952,4068,852,3216,2460
aesir,FALSE,6530664,4067,833,3234,2450
lears,FALSE,6529760,4068,825,3243,2446.5
reais,FALSE,6529462,4067,848,3219,2457.5
teras,FALSE,6519188,4087,753,3334,2420
salet,FALSE,6511346,3898,1353,2545,2625.5
crate,TRUE,6508140,3917,1335,2582,2626
trace,TRUE,6507422,3917,1299,2618,2608
aeros,FALSE,6505958,4093,714,3379,2403.5
stale,TRUE,6504912,3898,1336,2562,2617
arets,FALSE,6503011,4087,760,3327,2423.5
serai,FALSE,6500262,4067,945,3122,2506
antre,FALSE,6496983,4019,915,3104,2467
stoae,FALSE,6492490,3923,1274,2649,2598.5
retia,FALSE,6489962,4116,680,3436,2398
laers,FALSE,6487461,4068,757,3311,2412.5
learn,TRUE,6485412,4000,919,3081,2459.5
urate,FALSE,6485322,3926,1170,2756,2548
carte,FALSE,6464918,3917,1228,2689,2572.5
caret,FALSE,6462984,3917,1236,2681,2576.5
torse,FALSE,6460993,3851,1186,2665,2518.5
carle,FALSE,6451258,3898,1251,2647,2574.5
earnt,FALSE,6450958,4019,974,3045,2496.5
