,Total,Position 1,Position 2,Position 3,Position 4,Position 5
a,2590,418,1330,423,459,279
b,743,445,48,178,93,13
c,1015,509,101,255,165,42
d,721,286,32,192,192,39
e,3586,227,817,357,1252,1860
f,493,312,11,80,70,47
g,697,301,44,228,139,15
h,491,170,134,48,107,42
i,1995,103,678,498,597,213
j,171,114,13,26,18,2
k,282,105,20,56,74,39
l,1398,297,266,420,334,174
m,845,360,84,235,172,43
n,1349,161,121,484,354,326
o,1913,147,970,330,433,183
p,853,467,76,211,129,27
q,61,24,3,33,1,0
r,1968,360,416,583,313,403
s,2371,480,67,269,191,1656
t,1491,394,90,388,409,339
u,1432,44,526,408,371,142
v,430,194,44,128,72,2
w,61,24,17,9,9,2
x,185,10,33,60,7,75
y,257,26,70,82,33,48
z,133,46,13,43,30,13
