,Answer,Score
cette,True,24505173.0
aussi,True,31424316.5
autre,True,44494174.0
faire,True,42589727.0
entre,True,33030293.0
temps,True,37065029.0
quand,True,27736498.0
apres,True,44571673.0
leurs,True,43138148.0
alors,True,43302475.0
moins,True,38617377.0
toute,True,33799724.0
homme,True,27004514.0
elles,True,25236363.0
grand,True,32779522.0
ainsi,True,32691173.0
avoir,True,38096457.0
avant,True,23946004.0
monde,True,35933202.0
notre,True,42916814.0
trois,True,42923258.0
celui,True,38611334.0
celle,True,24192631.0
petit,True,30314116.0
chose,True,37523634.0
porte,True,41314110.0
point,True,35961575.0
parce,True,41128061.0
place,True,38347499.0
femme,True,19391645.0
enfin,True,25817681.0
passe,True,33266652.5
corps,True,37259967.0
assez,True,27915996.5
jours,True,35125476.0
donne,True,30562956.5
terre,True,27431813.0
etais,True,44918419.0
mieux,True,31434897.0
reste,True,38096260.0
forme,True,36797010.0
heure,True,31372262.0
doute,True,38874731.0
effet,True,18661521.0
votre,True,38870175.0
cours,True,39459804.0
saint,True,42730200.0
seule,True,36492233.0
coeur,True,39598441.0
jeune,True,27766932.0
mains,True,40408184.0
droit,True,36984138.0
abord,True,34496116.0
amour,True,38211146.0
vieux,True,29335246.0
peine,True,33140521.0
facon,True,33776306.0
ordre,True,30635167.0
memes,True,25970019.0
fille,True,29410776.0
suite,True,44558873.0
sorte,True,46291928.0
aller,True,35611859.0
bonne,True,30671476.5
ville,True,29078725.0
etats,True,34240128.0
force,True,37529384.0
matin,True,37819916.0
voila,True,36374971.0
aucun,True,27937535.0
table,True,40560686.0
parle,True,42726200.0
selon,True,42597048.0
vingt,True,29046932.0
parmi,True,36860080.0
pense,True,33501233.0
telle,True,26041863.0
cause,True,43935756.0
ayant,True,23018809.0
ecole,True,31273946.0
juste,True,36440631.0
route,True,43487946.0
rouge,True,40077186.0
belle,True,22907335.0
annee,True,29234069.0
objet,True,31899788.0
moyen,True,33131286.0
train,True,41141996.0
etant,True,30842965.0
plein,True,36767340.0
livre,True,38622253.0
grace,True,39448069.0
etude,True,28691600.0
marie,True,44735867.0
pieds,True,37187661.0
garde,True,39069697.0
blanc,True,32419160.0
debut,True,33095773.0
bruit,True,35699461.0
vivre,True,31571816.0
envie,True,28659940.0
louis,True,41284498.0
image,True,38227120.0
piece,True,30183261.0
cesse,True,24601558.5
salle,True,37835543.0
venir,True,37666744.0
mille,True,31178376.0
sujet,True,36439943.0
ombre,True,37041728.0
libre,True,40202530.0
genre,True,32164803.0
paris,True,42668412.0
coups,True,35463840.0
voulu,True,23204425.0
signe,True,40931408.0
verre,True,22692096.0
