,Answer
dubbi,True
corra,True
litro,True
sparo,True
carta,True
nasce,True
punti,True
rasoi,True
muffa,True
ritmi,True
lorde,True
carne,True
snodi,True
borie,True
calco,True
crepe,True
eredi,True
tosai,True
sugli,True
disto,True
dirmi,True
nuovo,True
mandi,True
giace,True
odino,True
zolfo,True
umana,True
scali,True
farne,True
dogma,True
rompa,True
arida,True
ressa,True
puzzi,True
vuole,True
pigro,True
fogne,True
panno,True
gioco,True
rozza,True
porge,True
linfa,True
zinco,True
regia,True
acino,True
dighe,True
stelo,True
bacio,True
balsa,True
leghe,True
omega,True
nonio,True
conca,True
talea,True
gambo,True
sella,True
afona,True
prono,True
tremo,True
mallo,True
piuma,True
gradi,True
aglio,True
fulva,True
dieta,True
fioca,True
zuppa,True
nanna,True
epoca,True
greve,True
motto,True
tassa,True
pochi,True
folle,True
rocca,True
iodio,True
cargo,True
girai,True
tenni,True
gnosi,True
mambo,True
bachi,True
omero,True
mitra,True
conga,True
corna,True
farsa,True
dorma,True
denso,True
mania,True
miele,True
mille,True
cicca,True
falce,True
frigo,True
bande,True
serro,True
vista,True
rutto,True
sfila,True
sesso,True
sasso,True
servi,True
astio,True
porre,True
prude,True
torme,True
sansa,True
faina,True
netto,True
conte,True
secca,True
conto,True
garza,True
ditta,True
brina,True
madre,True
forum,True
sudai,True
boato,True
culto,True
spago,True
curai,True
badai,True
roghi,True
bieco,True
lanci,True
ovvio,True
bitta,True
obesi,True
cavai,True
massa,True
ruota,True
lerci,True
penna,True
tacco,True
natia,True
togli,True
vinti,True
mogio,True
scala,True
ampio,True
lembo,True
onice,True
nomea,True
stare,True
giogo,True
rughe,True
retro,True
audio,True
rissa,True
offro,True
pecca,True
testa,True
turbe,True
gonna,True
aroma,True
ruolo,True
rebbi,True
tanfo,True
tarme,True
borgo,True
ragno,True
tetto,True
tenia,True
piano,True
copia,True
torce,True
orafe,True
spera,True
cucio,True
viola,True
sacre,True
muovi,True
crisi,True
muoio,True
liana,True
curva,True
tolda,True
bugie,True
bidet,True
bozza,True
altra,True
parco,True
salmo,True
eroso,True
fetta,True
spine,True
libro,True
buffa,True
sorci,True
sonno,True
cosmo,True
laghi,True
solfa,True
sappi,True
pugni,True
adori,True
mangi,True
sopra,True
