,Total,Position 1,Position 2,Position 3,Position 4,Position 5
a,879,110,306,112,53,483
b,178,104,20,28,44,0
c,363,177,27,77,152,0
d,170,50,18,28,81,0
e,594,51,226,95,33,254
f,142,97,13,16,29,0
g,218,70,13,82,70,0
h,44,2,6,1,35,0
i,578,12,183,107,99,236
j,3,1,0,0,2,0
k,4,3,0,0,0,1
l,313,68,38,130,113,2
m,222,85,29,45,78,4
n,305,36,25,154,121,3
o,822,50,256,113,7,525
p,242,146,29,36,64,0
q,4,3,0,1,0,0
r,477,75,121,185,118,2
s,377,167,31,129,103,4
t,348,102,27,78,205,4
u,225,29,125,58,15,2
v,144,65,24,12,47,0
w,2,0,0,0,2,0
x,2,0,1,0,0,1
y,3,0,1,0,0,2
z,80,20,4,36,52,0
