,Answer,Score
abaca,False,137449.0
abaco,False,172894.5
abata,False,148920.0
abate,False,174314.5
abati,False,161039.5
abato,False,184365.5
abavi,False,127876.5
abavo,False,151202.5
abaya,False,98313.0
abbai,False,93982.0
abbia,False,128142.5
abbui,False,146195.0
abena,False,183390.5
abene,False,171915.5
abete,False,182115.5
abeti,False,228759.0
abeto,False,252085.0
abici,False,151543.0
abile,False,217347.0
abili,False,147119.0
abita,False,184798.5
abiti,True,163014.0
abito,True,243293.0
aboli,False,217576.0
abuna,False,157236.5
abusa,False,163139.5
abusi,False,198308.0
abuso,False,221634.0
acari,False,187194.5
acaro,False,210520.5
acati,False,183211.5
acato,False,206537.5
acazi,False,142918.5
acche,False,147664.5
accia,False,144571.0
accio,False,203065.5
aceri,False,254914.0
acero,False,278240.0
acese,False,199990.5
acesi,False,246634.0
aceta,False,215762.5
aceti,False,250931.0
aceto,True,274257.0
achea,False,162653.5
achee,False,147369.5
achei,False,197822.0
acheo,False,221148.0
acida,True,179001.5
acide,False,227445.0
acidi,False,157217.0
acido,True,237496.0
acile,False,239519.0
acili,False,169291.0
acini,False,174986.0
acino,False,255265.0
acori,False,259626.0
acoro,False,227881.0
acqua,True,140432.5
acque,False,188876.0
acqui,False,175601.0
acquo,False,198927.0
actea,False,211483.5
actee,False,196199.5
acuii,False,161807.0
acume,False,218747.0
acumi,False,205472.0
acuta,False,189608.5
acute,False,238052.0
acuti,False,224777.0
acuto,True,248103.0
adagi,False,139420.5
adale,False,164973.5
adali,False,151698.5
adami,False,148288.5
adamo,False,171614.5
addai,False,98511.0
addax,False,53765.0
addia,False,132671.5
addii,False,109197.0
addio,True,191166.0
addua,False,115555.5
addui,False,150724.0
adduo,False,174050.0
aderi,False,239296.0
adesa,False,195847.5
adese,False,184372.5
adesi,False,231016.0
adeso,False,254342.0
adibi,False,134576.0
adima,False,172047.5
adimi,False,150263.0
adimo,False,230542.0
adipe,False,221815.0
adipi,False,151587.0
adira,False,195335.5
adire,False,243779.0
adiri,False,173551.0
adiro,False,253830.0
adita,False,191352.5
adite,False,239796.0
aditi,False,169568.0
adito,False,249847.0
adiva,False,158189.5
adivi,False,136405.0
adivo,False,216684.0
adobe,False,218308.0
adona,False,194656.5
adone,False,243100.0
adoni,False,229825.0
adono,False,198080.0
adora,False,208839.5
adori,False,244008.0
adoro,False,212263.0
adoxa,False,154715.5
adoxe,False,203159.0
adula,False,158095.5
aduli,False,193264.0
adulo,False,216590.0
aduna,False,163790.5
aduni,False,198959.0
aduno,False,222285.0
adusa,False,169693.5
aduse,False,218137.0
adusi,False,204862.0
aduso,False,228188.0
aequo,False,219497.0
aerai,False,197089.0
aerea,False,172526.5
aeree,False,181561.5
aerei,False,207695.0
aereo,True,231021.0
afaca,False,139795.0
afata,False,151266.0
afate,False,176660.5
afati,False,163385.5
afato,False,186711.5
afeli,False,215210.0
afeta,False,195936.5
afeti,False,231105.0
affla,False,116053.0
affli,False,151221.5
afide,False,207619.0
afidi,False,137391.0
afnii,False,152845.0
afnio,False,234814.0
afona,False,190448.5
afone,False,238892.0
afoni,False,225617.0
afono,False,193872.0
afosa,False,196351.5
afose,False,244795.0
afosi,False,231520.0
afoso,False,199775.0
afoxe,False,198951.0
agama,False,136123.0
agame,False,161517.5
agami,False,148242.5
agamo,False,171568.5
agape,False,162841.5
agapi,False,149566.5
agata,False,155428.0
agate,False,180822.5
agave,False,147659.5
agavi,False,134384.5
agera,False,204081.5
agero,False,262576.0
aggia,False,134035.5
aggio,False,192530.0
agiai,False,95866.0
agile,True,223855.0
agili,False,153627.0
agino,False,239601.0
agira,False,195289.5
agire,True,243733.0
agiro,False,253784.0
agita,False,191306.5
agite,False,239750.0
agiti,False,169522.0
agito,False,249801.0
agiva,False,158143.5
agivi,False,136359.0
agivo,False,216638.0
aglio,True,233446.0
agone,False,243054.0
agoni,False,229779.0
agora,False,208793.5
aguna,False,163744.5
aguni,False,198913.0
aguno,False,222239.0
agura,False,177927.5
aguri,False,213096.0
aguro,False,236422.0
aguti,False,209113.0
aguto,False,232439.0
ahime,False,199283.0
aiace,False,194949.5
aiaci,False,128101.5
aiata,False,181026.0
aiate,False,206420.5
aiola,False,214513.5
aiole,False,262957.0
aioli,False,196109.0
aiolo,False,217937.0
aione,False,268652.0
aioni,False,201804.0
aitai,False,127654.0
aiuga,False,171369.5
aiuta,False,199542.5
aiuti,False,181138.0
aiuto,True,258037.0
aizza,False,130679.5
aizzi,False,112275.0
aizzo,False,189174.0
ajour,False,200362.0
alaci,False,167814.5
alala,False,108901.0
alale,False,134295.5
alali,False,121020.5
alalo,False,144346.5
alami,False,159980.5
alana,False,156966.0
alane,False,182360.5
alani,False,169085.5
alano,False,192411.5
alare,False,196543.5
alari,False,183268.5
alata,False,167166.0
alate,False,192560.5
alati,False,179285.5
alato,False,202611.5
alava,False,134003.0
alavi,False,146122.5
alavo,False,169448.5
albio,False,226002.0
album,True,170528.0
alcea,False,196036.5
alcee,False,180752.5
alche,False,193100.0
alcol,True,170893.0
alcun,False,200599.0
aldia,False,174171.5
aldie,False,222615.0
aldio,False,232666.0
alena,False,201636.5
aleni,False,236805.0
aleph,False,184742.0
alera,False,215819.5
alere,False,204344.5
alero,False,274314.0
alesa,False,207539.5
alese,False,196064.5
alesi,False,242708.0
aleso,False,266034.0
alghe,False,177433.0
algia,False,174339.5
algie,False,222783.0
aliai,False,107604.0
alias,False,162559.0
alibi,False,146268.0
alice,True,240017.0
alici,False,169789.0
alida,False,175075.5
alide,False,223519.0
alidi,False,153291.0
alido,False,233570.0
aliga,False,174871.5
alimi,False,161955.0
alimo,False,242234.0
alino,False,251339.0
alita,False,203044.5
alite,False,251488.0
aliti,False,181260.0
alito,True,261539.0
allea,False,152249.5
allee,False,136965.5
allei,False,187418.0
alleo,False,210744.0
almea,False,188553.5
almee,False,173269.5
alobi,False,216725.0
alona,False,206348.5
alone,False,254792.0
aloni,False,241517.0
alono,False,209772.0
alosa,False,212251.5
alose,False,260695.0
alpax,False,104956.0
alpha,False,138512.5
altea,False,207557.5
altee,False,192273.5
altra,False,209837.5
altre,False,258281.0
altri,False,245006.0
altro,True,268332.0
alula,False,127417.5
alule,False,175861.0
alvei,False,210190.0
alveo,False,233516.0
alzai,False,127949.0
amaca,False,152507.0
amaci,False,164626.5
amale,False,173477.5
amali,False,160202.5
amalo,False,183528.5
amami,False,118182.5
amane,False,179172.5
amano,False,189223.5
amara,False,167961.0
amare,True,193355.5
amari,False,180080.5
amaro,True,203406.5
amasi,False,171800.5
amata,False,163978.0
amate,False,189372.5
amati,False,176097.5
amato,False,199423.5
amava,False,130815.0
amavi,False,142934.5
amavo,False,166260.5
ambia,False,164319.5
ambii,False,140845.0
ambio,False,222814.0
ambra,True,172629.5
ambre,False,221073.0
ameba,False,173656.5
amebe,False,162181.5
amena,False,198448.5
amene,False,186973.5
ameni,False,233617.0
ameno,False,256943.0
amera,False,212631.5
amero,False,271126.0
amica,False,188385.5
amici,False,166601.0
amico,True,246880.0
amida,False,171887.5
amide,False,220331.0
amidi,False,150103.0
amido,False,230382.0
amiga,False,171683.5
amigo,False,230178.0
amile,False,232405.0
amili,False,162177.0
amina,False,189656.5
amine,False,238100.0
amino,False,248151.0
ammai,False,104030.0
ammen,False,171929.0
amnii,False,165557.0
amnio,False,247526.0
amomi,False,190614.0
amomo,False,158869.0
amora,False,217343.5
amore,True,265787.0
amori,False,252512.0
ampex,False,177127.0
ampia,False,180674.5
ampie,False,229118.0
ampio,True,239169.0
ampli,False,204275.0
amplo,False,227601.0
amuli,False,201768.0
amulo,False,225094.0
anace,False,185951.5
anale,False,181527.5
anali,False,168252.5
anari,False,188130.5
anche,True,197962.0
ancia,False,194868.5
ancoi,False,235321.0
andai,False,144873.0
andar,False,148791.0
andra,False,187343.5
andro,False,245838.0
anela,False,200803.5
anele,False,189328.5
aneli,False,235972.0
anelo,False,259298.0
aneti,False,251867.0
aneto,False,275193.0
angla,False,167633.5
angle,False,216077.0
angli,False,202802.0
anglo,False,226128.0
angue,False,210529.0
angui,False,197254.0
anice,False,244879.0
anici,False,174651.0
anile,False,240455.0
anili,False,170227.0
anima,True,188601.5
anime,False,237045.0
animi,False,166817.0
animo,False,247096.0
annoi,False,192522.0
annua,False,134953.5
annue,False,183397.0
annui,False,170122.0
annuo,False,193448.0
anobi,False,221587.0
anodi,False,228610.0
anodo,False,196865.0
anona,False,164565.0
anone,False,213008.5
ansai,False,168920.0
ansia,True,203080.5
ansie,False,251524.0
ansio,False,261575.0
antri,False,249868.0
antro,False,273194.0
anura,False,194527.5
anure,False,242971.0
anuri,False,229696.0
anuro,False,253022.0
aonia,False,227173.5
aonie,False,275617.0
aonio,False,234860.0
aoppi,False,197403.5
aorta,False,246034.5
aorte,False,294478.0
apale,False,175125.5
apali,False,161850.5
apate,False,191020.5
apiai,False,106064.0
apice,True,238477.0
apici,False,168249.0
apide,False,221979.0
apidi,False,151751.0
apina,False,191304.5
apine,False,239748.0
apira,False,205487.5
apire,False,253931.0
apiri,False,183703.0
apiro,False,263982.0
apnea,False,196709.5
apnee,False,181425.5
apoda,False,187039.5
apode,False,235483.0
apodi,False,222208.0
apodo,False,190463.0
appai,False,104079.5
appia,False,138240.0
appie,False,186683.5
appio,False,196734.5
aprii,False,181739.0
apula,False,168247.5
apule,False,216691.0
apuli,False,203416.0
apulo,False,226742.0
aquea,False,155407.5
aquee,False,140123.5
aquei,False,190576.0
aqueo,False,213902.0
araba,False,151380.0
arabe,False,176774.5
arabi,False,163499.5
arabo,False,186825.5
araci,False,187020.5
arala,False,170477.0
arale,False,195871.5
arali,False,182596.5
aralo,False,205922.5
arama,False,167067.0
arame,False,192461.5
arami,False,179186.5
aramo,False,202512.5
arane,False,201566.5
arano,False,211617.5
arara,False,129987.0
arare,False,155381.5
arata,False,186372.0
arate,False,211766.5
arati,False,198491.5
