,Characters,Answer
ㄅㄚㄅㄟㄗ,八輩子,False
ㄅㄚㄅㄧㄠ,八表,False
ㄅㄚㄅㄧㄥ,把柄/八病,False
ㄅㄚㄆㄨㄗ,拔脯子,False
ㄅㄚㄆㄨㄦ,拔脯兒,False
ㄅㄚㄇㄧㄢ,罷免,False
ㄅㄚㄈㄣㄧ,八分儀,False
ㄅㄚㄉㄜㄕ,八德市,False
ㄅㄚㄉㄞㄩ,八帶魚,False
ㄅㄚㄉㄡㄗ,八斗子,False
ㄅㄚㄉㄧㄠ,拔掉,False
ㄅㄚㄉㄧㄥ,把定/拔碇,False
ㄅㄚㄉㄨㄛ,把舵,False
ㄅㄚㄉㄨㄢ,把斷,False
ㄅㄚㄉㄨㄥ,巴東/八洞,False
ㄅㄚㄉㄨㄦ,八都兒,False
ㄅㄚㄊㄡㄦ,扒頭兒,False
ㄅㄚㄊㄨㄟ,罷退/拔腿,False
ㄅㄚㄊㄨㄦ,把突兒,False
ㄅㄚㄋㄨㄥ,把弄,False
ㄅㄚㄌㄟㄨ,芭蕾舞,False
ㄅㄚㄌㄧㄗ,笆籬子,False
ㄅㄚㄌㄧㄢ,把斂,False
ㄅㄚㄌㄧㄥ,巴陵,False
ㄅㄚㄌㄧㄩ,巴利語,False
ㄅㄚㄌㄨㄥ,八龍,False
ㄅㄚㄌㄩㄝ,霸略,False
ㄅㄚㄍㄠㄗ,巴羔子,False
ㄅㄚㄍㄨㄚ,八卦,False
ㄅㄚㄍㄨㄛ,巴國,False
ㄅㄚㄍㄨㄢ,把關/拔關,False
ㄅㄚㄍㄨㄣ,巴棍,False
ㄅㄚㄍㄨㄥ,罷工/八公,True
ㄅㄚㄎㄨㄟ,拔葵,False
ㄅㄚㄏㄨㄚ,把話/把滑,False
ㄅㄚㄏㄨㄤ,八荒,False
ㄅㄚㄏㄨㄥ,八紘,False
ㄅㄚㄐㄧㄚ,把家,False
ㄅㄚㄐㄧㄝ,巴結/巴解,False
ㄅㄚㄐㄧㄠ,八角/芭蕉,False
ㄅㄚㄐㄧㄡ,八九/把酒,False
ㄅㄚㄐㄧㄢ,拔尖,False
ㄅㄚㄐㄧㄣ,巴金,False
ㄅㄚㄐㄧㄤ,巴江,False
ㄅㄚㄐㄩㄢ,把卷,False
ㄅㄚㄐㄩㄣ,八俊/八駿,False
ㄅㄚㄑㄧㄠ,灞橋,False
ㄅㄚㄑㄧㄡ,巴丘,False
ㄅㄚㄑㄧㄢ,把錢,False
ㄅㄚㄑㄧㄣ,拔親,False
ㄅㄚㄑㄩㄢ,霸權/把權,True
ㄅㄚㄑㄩㄣ,拔群,False
ㄅㄚㄒㄧㄚ,把下/八遐,False
ㄅㄚㄒㄧㄝ,拔薤,False
ㄅㄚㄒㄧㄡ,罷休,False
ㄅㄚㄒㄧㄢ,八仙/巴先,False
ㄅㄚㄒㄧㄣ,靶心,False
ㄅㄚㄒㄧㄤ,巴想/八相,False
ㄅㄚㄒㄧㄥ,八刑,False
ㄅㄚㄓㄧㄓ,拔幟易幟,False
ㄅㄚㄓㄨㄛ,把捉/拔擢,False
ㄅㄚㄓㄨㄞ,巴拽,False
ㄅㄚㄓㄨㄢ,八專,False
ㄅㄚㄔㄨㄢ,巴船,False
ㄅㄚㄕㄊㄧ,巴氏體,False
ㄅㄚㄕㄕㄨ,拔十失五,False
ㄅㄚㄕㄢㄓ,拔山志,False
ㄅㄚㄕㄨㄟ,巴水/灞水,False
ㄅㄚㄗㄇㄟ,八字眉,False
ㄅㄚㄗㄎㄚ,巴茲卡,False
ㄅㄚㄗㄏㄨ,八字鬍,False
ㄅㄚㄗㄨㄛ,把做/把作,False
ㄅㄚㄗㄨㄟ,跋嘴,False
ㄅㄚㄗㄨㄥ,把總/八宗,False
ㄅㄚㄘㄨㄟ,拔萃,False
ㄅㄚㄙㄅㄚ,八思巴,False
ㄅㄚㄙㄨㄛ,八索,False
ㄅㄚㄦㄍㄡ,巴兒狗,False
ㄅㄚㄦㄕㄚ,巴爾沙,False
ㄅㄚㄧㄡㄔ,巴油池,False
ㄅㄚㄧㄢㄕ,八言詩,False
ㄅㄚㄨㄤㄖ,八王日,False
ㄅㄛㄅㄧㄣ,薄鬢,False
ㄅㄛㄅㄧㄥ,薄餅/撥兵,False
ㄅㄛㄆㄧㄢ,薄片,False
ㄅㄛㄇㄧㄢ,薄面,False
ㄅㄛㄇㄧㄥ,搏命/薄明,False
ㄅㄛㄈㄥㄩ,撥風羽,False
ㄅㄛㄉㄥㄦ,撥瞪兒,False
ㄅㄛㄉㄨㄛ,剝奪,True
ㄅㄛㄉㄨㄢ,波段,False
ㄅㄛㄉㄨㄣ,踣頓,False
ㄅㄛㄉㄨㄥ,波動/撥動,False
ㄅㄛㄊㄧㄝ,薄貼,False
ㄅㄛㄊㄧㄢ,薄田,False
ㄅㄛㄊㄨㄛ,剝脫/餺飥,False
ㄅㄛㄋㄧㄤ,伯娘/波娘,False
ㄅㄛㄋㄨㄥ,播弄/撥弄,False
ㄅㄛㄌㄧㄓ,玻璃紙,False
ㄅㄛㄌㄧㄙ,玻璃絲,False
ㄅㄛㄌㄧㄝ,薄劣/擘裂,False
ㄅㄛㄌㄧㄠ,撥撩,False
ㄅㄛㄌㄧㄡ,波流/播流,False
ㄅㄛㄌㄧㄢ,薄臉/搏煉,False
