,Total,Position 1,Position 2,Position 3,Position 4,Position 5
ㄅ,84,46,0,14,25,0
ㄆ,28,18,0,7,5,0
ㄇ,62,24,0,25,13,0
ㄈ,64,38,0,0,26,0
ㄉ,135,71,0,36,32,0
ㄊ,94,50,0,23,26,0
ㄋ,38,23,0,9,7,0
ㄌ,102,44,1,34,33,0
ㄍ,131,75,0,43,17,0
ㄎ,42,22,1,8,11,0
ㄏ,94,59,0,22,19,0
ㄐ,172,93,1,66,14,0
ㄑ,87,38,0,35,16,0
ㄒ,187,86,1,93,13,0
ㄓ,86,45,0,16,26,0
ㄔ,62,30,0,3,29,0
ㄕ,108,49,2,10,46,5
ㄖ,46,18,0,2,27,0
ㄗ,50,23,0,14,13,2
ㄘ,19,13,0,3,3,0
ㄙ,27,9,0,8,10,0
ㄧ,600,47,287,8,297,61
ㄨ,472,21,267,3,189,58
ㄩ,111,8,34,0,48,23
ㄚ,111,0,36,23,2,54
ㄛ,96,0,4,44,0,49
ㄜ,59,0,29,0,0,30
ㄝ,82,0,3,32,0,47
ㄞ,64,0,34,3,0,27
ㄟ,91,0,12,35,1,46
ㄠ,121,0,41,34,0,48
ㄡ,110,0,41,12,0,60
ㄢ,267,0,48,90,0,151
ㄣ,161,0,40,48,0,80
ㄤ,121,0,33,29,0,66
ㄥ,277,0,35,118,2,142
ㄦ,1,0,0,0,0,1
