,Characters,Answer,Score
ㄐㄧㄥㄨㄢ,驚惋,FALSE,1125157
ㄉㄨㄥㄧㄢ,懂眼,FALSE,1099971
ㄍㄨㄥㄧㄢ,公演/貢煙,FALSE,1096891
ㄍㄨㄢㄧㄥ,貫盈,FALSE,1095713
ㄨㄢㄒㄧㄥ,萬幸/萬姓,FALSE,1084965
ㄌㄨㄥㄧㄢ,龍眼/龍顏,FALSE,1074450
ㄨㄢㄐㄧㄥ,晚景/晚境,FALSE,1074354
ㄒㄧㄥㄨㄣ,行文/刑問,TRUE,1068993
ㄊㄨㄥㄧㄢ,童顏/同硯,FALSE,1068066
ㄏㄨㄥㄧㄢ,紅顏/紅眼,FALSE,1067931
ㄏㄨㄢㄧㄥ,歡迎/幻影,FALSE,1066753
ㄒㄧㄢㄨㄣ,弦紋,FALSE,1062101
ㄓㄨㄥㄧㄢ,重言/忠言,FALSE,1061551
ㄑㄧㄥㄨㄢ,清玩,FALSE,1060937
ㄓㄨㄢㄧㄥ,專營,FALSE,1060373
ㄐㄧㄥㄨㄣ,經文,FALSE,1058789
ㄅㄧㄥㄨㄢ,冰紈/丙烷,FALSE,1058486
ㄐㄧㄣㄨㄢ,今晚/金丸,FALSE,1052427
ㄉㄨㄒㄧㄥ,毒性/獨行,FALSE,1051925
ㄐㄧㄢㄨㄣ,見聞,FALSE,1051897
ㄒㄧㄉㄨㄥ,翕動/西東,FALSE,1049481
ㄍㄨㄒㄧㄥ,孤行/鼓興,FALSE,1048845
ㄒㄧㄍㄨㄥ,細工/喜功,FALSE,1046965
ㄉㄨㄒㄧㄢ,毒腺,FALSE,1046211
ㄍㄨㄒㄧㄢ,姑洗/古賢,FALSE,1043131
ㄔㄨㄥㄧㄢ,重演/重言,FALSE,1041418
ㄉㄨㄐㄧㄥ,讀經,FALSE,1041314
ㄒㄧㄍㄨㄢ,習慣/戲館,TRUE,1041251
ㄇㄧㄥㄨㄢ,冥頑,FALSE,1039962
ㄒㄧㄥㄨㄤ,興旺/興亡,FALSE,1039423
ㄐㄧㄉㄨㄥ,激動/機動,TRUE,1039277
ㄍㄨㄐㄧㄥ,古井,FALSE,1038234
ㄐㄧㄍㄨㄥ,技工/機工,FALSE,1036761
ㄉㄨㄐㄧㄢ,獨見/蠹簡,FALSE,1035600
ㄉㄨㄥㄧㄣ,動因,FALSE,1033603
ㄐㄧㄉㄨㄢ,極端/機斷,TRUE,1033563
ㄒㄧㄠㄨㄢ,小頑/小宛,FALSE,1033445
ㄒㄧㄤㄨㄢ,向晚,FALSE,1033155
ㄒㄧㄢㄨㄤ,先王/憲網,FALSE,1032531
ㄍㄨㄐㄧㄢ,故劍/孤賤,FALSE,1032520
ㄉㄧㄥㄨㄣ,叮問/釘問,FALSE,1032195
ㄕㄨㄒㄧㄥ,屬性/淑性,FALSE,1031183
ㄐㄧㄍㄨㄢ,機關/雞冠,TRUE,1031047
ㄗㄨㄥㄧㄢ,縱言,FALSE,1031023
ㄍㄨㄥㄧㄣ,公引,FALSE,1030523
ㄗㄨㄢㄧㄥ,鑽營,FALSE,1029845
ㄐㄧㄥㄨㄤ,警網,FALSE,1029219
ㄖㄨㄥㄧㄢ,熔岩/容顏,FALSE,1027490
ㄧㄢㄉㄨㄥ,嚴冬/岩洞,FALSE,1027147
ㄉㄨㄢㄧㄣ,短音,FALSE,1026711
ㄌㄨㄒㄧㄥ,陸行,FALSE,1026404
ㄕㄨㄒㄧㄢ,束線/熟閑,FALSE,1025469
ㄒㄧㄚㄨㄢ,下晚/狎玩,FALSE,1025331
ㄉㄧㄢㄨㄣ,電文,FALSE,1025303
ㄎㄨㄥㄧㄢ,空言/孔雁,FALSE,1023978
ㄍㄨㄢㄧㄣ,觀音/關尹,FALSE,1023631
ㄐㄧㄤㄨㄢ,將晚/蔣琬,FALSE,1022951
ㄐㄧㄢㄨㄤ,見旺/健忘,FALSE,1022327
ㄐㄧㄥㄨㄚ,井蛙,FALSE,1021487
ㄧㄥㄍㄨㄢ,盈貫/纓冠,FALSE,1020935
ㄌㄨㄒㄧㄢ,路線,FALSE,1020690
ㄕㄨㄐㄧㄥ,書經/熟精,FALSE,1020572
ㄋㄨㄥㄧㄢ,濃煙/濃豔,FALSE,1020403
ㄊㄨㄒㄧㄥ,土星/徒行,TRUE,1020020
ㄏㄨㄒㄧㄥ,胡行/弧形,FALSE,1019885
ㄒㄧㄥㄨㄛ,行窩,FALSE,1019771
ㄒㄧㄥㄉㄨ,行都/腥賭,FALSE,1019330
ㄨㄣㄒㄧㄢ,文獻/紋線,TRUE,1018247
ㄒㄧㄊㄨㄥ,系統,FALSE,1017989
ㄌㄨㄐㄧㄥ,路徑/路警,FALSE,1015793
ㄒㄧㄥㄨㄟ,行為/行葦,FALSE,1015723
ㄒㄧㄥㄍㄨ,行賈,FALSE,1015236
ㄐㄧㄚㄨㄢ,甲烷,FALSE,1015127
ㄕㄨㄐㄧㄢ,熟間/書簡,FALSE,1014858
ㄐㄧㄌㄨㄥ,雞籠,FALSE,1014496
ㄊㄨㄒㄧㄢ,凸顯/突顯,FALSE,1014306
ㄏㄨㄒㄧㄢ,弧線/戶限,FALSE,1014171
ㄓㄨㄒㄧㄥ,主星/主刑,FALSE,1013505
ㄨㄣㄐㄧㄥ,文靜/文旌,TRUE,1013350
ㄒㄧㄢㄉㄨ,限度,FALSE,1012438
ㄒㄧㄏㄨㄢ,喜歡/洗換,TRUE,1012226
